,Images,Kills,Deaths,Kills_Colors,Deaths_Colors
3690,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55365.jpg,"[['symmetra', 0.670600414276123]]","[['symmetra', 0.670600414276123]]",['no kill'],['no kill']
3691,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55380.jpg,"[['symmetra', 0.6706773042678833]]","[['symmetra', 0.6706773042678833]]",['no kill'],['no kill']
3692,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55395.jpg,"[['symmetra', 0.6706005930900574]]","[['symmetra', 0.6706005930900574]]",['no kill'],['no kill']
3693,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55410.jpg,"[['symmetra', 0.6707779765129089]]","[['symmetra', 0.6707779765129089]]",['no kill'],['no kill']
3694,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55425.jpg,"[['symmetra', 0.6707779765129089]]","[['symmetra', 0.6707779765129089]]",['no kill'],['no kill']
3695,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55440.jpg,"[['symmetra', 0.6714757680892944]]","[['symmetra', 0.6714757680892944]]",['no kill'],['no kill']
3696,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55455.jpg,"[['symmetra', 0.6707834601402283]]","[['symmetra', 0.6707834601402283]]",['no kill'],['no kill']
3697,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55470.jpg,"[['symmetra', 0.6707834601402283]]","[['symmetra', 0.6707834601402283]]",['no kill'],['no kill']
3698,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55485.jpg,"[['symmetra', 0.6705005168914795]]","[['symmetra', 0.6705005168914795]]",['no kill'],['no kill']
3699,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55500.jpg,"[['symmetra', 0.6705005168914795]]","[['symmetra', 0.6705005168914795]]",['no kill'],['no kill']
3700,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55515.jpg,"[['symmetra', 0.6708561182022095]]","[['symmetra', 0.6708561182022095]]",['no kill'],['no kill']
3701,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55530.jpg,"[['symmetra', 0.6708561182022095]]","[['symmetra', 0.6708561182022095]]",['no kill'],['no kill']
3702,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55545.jpg,"[['symmetra', 0.6708561182022095]]","[['symmetra', 0.6708561182022095]]",['no kill'],['no kill']
3703,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55560.jpg,"[['symmetra', 0.6708561182022095]]","[['symmetra', 0.6708561182022095]]",['no kill'],['no kill']
3704,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55575.jpg,"[['symmetra', 0.6708561182022095]]","[['symmetra', 0.6708561182022095]]",['no kill'],['no kill']
3705,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55590.jpg,"[['symmetra', 0.6708561182022095]]","[['symmetra', 0.6708561182022095]]",['no kill'],['no kill']
3706,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55605.jpg,"[['symmetra', 0.6708561182022095]]","[['symmetra', 0.6708561182022095]]",['no kill'],['no kill']
3707,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55620.jpg,"[['symmetra', 0.6708561182022095]]","[['symmetra', 0.6708561182022095]]",['no kill'],['no kill']
3708,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55635.jpg,"[['symmetra', 0.6708561182022095]]","[['symmetra', 0.6708561182022095]]",['no kill'],['no kill']
3709,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55650.jpg,"[['symmetra', 0.6745949983596802]]","[['symmetra', 0.6745949983596802]]",['no kill'],['no kill']
3710,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55665.jpg,"[['symmetra', 0.6745383143424988]]","[['symmetra', 0.6745383143424988]]",['no kill'],['no kill']
3711,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55680.jpg,"[['symmetra', 0.6745575666427612]]","[['symmetra', 0.6745575666427612]]",['no kill'],['no kill']
3712,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55695.jpg,"[['symmetra', 0.6745575666427612]]","[['symmetra', 0.6745575666427612]]",['no kill'],['no kill']
3713,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55710.jpg,"[['symmetra', 0.6748676300048828]]","[['symmetra', 0.6748676300048828]]",['no kill'],['no kill']
3714,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55725.jpg,"[['symmetra', 0.6745427846908569]]","[['symmetra', 0.6745427846908569]]",['no kill'],['no kill']
3715,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55740.jpg,"[['symmetra', 0.6745427846908569]]","[['symmetra', 0.6745427846908569]]",['no kill'],['no kill']
3716,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55755.jpg,"[['symmetra', 0.6710589528083801]]","[['symmetra', 0.6710589528083801]]",['no kill'],['no kill']
3717,vod_data/01.04.2019+SF+vs+DAL+BUSAN/55770.jpg,"[['symmetra', 0.6716061234474182]]","[['symmetra', 0.6716061234474182]]",['no kill'],['no kill']
