,Images,Kills,Deaths
976,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14655.jpg,"['zarya', 0.9219498634338379]","['zarya', 0.9219498634338379]"
977,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14670.jpg,"['zarya', 0.9225737452507019]","['zarya', 0.9225737452507019]"
978,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14685.jpg,"['zarya', 0.923052191734314]","['zarya', 0.923052191734314]"
979,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14700.jpg,"['zarya', 0.923052191734314]","['zarya', 0.923052191734314]"
980,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14715.jpg,"['zarya', 0.923052191734314]","['zarya', 0.923052191734314]"
981,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14730.jpg,"['zarya', 0.923052191734314]","['zarya', 0.923052191734314]"
982,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14745.jpg,"['zarya', 0.9225368499755859]","['zarya', 0.9225368499755859]"
983,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14760.jpg,"['zarya', 0.921874463558197]","['zarya', 0.921874463558197]"
984,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14775.jpg,"['zarya', 0.921874463558197]","['zarya', 0.921874463558197]"
985,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14790.jpg,"['zarya', 0.9217908978462219]","['zarya', 0.9217908978462219]"
986,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14805.jpg,"['zarya', 0.9224851131439209]","['zarya', 0.9224851131439209]"
987,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14820.jpg,"['zarya', 0.9238863587379456]","['zarya', 0.9238863587379456]"
988,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14835.jpg,"['zarya', 0.9224520921707153]","['zarya', 0.9224520921707153]"
989,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14850.jpg,"['zarya', 0.9227390885353088]","['zarya', 0.9227390885353088]"
990,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14865.jpg,"['zarya', 0.9218600988388062]","['zarya', 0.9218600988388062]"
991,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14880.jpg,"['zarya', 0.9218600988388062]","['zarya', 0.9218600988388062]"
992,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14895.jpg,"['zarya', 0.9218600988388062]","['zarya', 0.9218600988388062]"
993,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14910.jpg,"['zarya', 0.9219428896903992]","['zarya', 0.9219428896903992]"
994,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14925.jpg,"['zarya', 0.9198004007339478]","['zarya', 0.9198004007339478]"
