,Images,Kills,Deaths,Kills_Colors,Deaths_Colors
1007,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15120.jpg,"[['zarya', 0.9961771965026855]]","[['reinhardt', 0.9997895359992981]]",['blue'],['yellow']
1008,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15135.jpg,"[['zarya', 0.9961771965026855]]","[['reinhardt', 0.9997895359992981]]",['blue'],['yellow']
1009,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15150.jpg,"[['zarya', 0.99613356590271]]","[['reinhardt', 0.9997915625572205]]",['blue'],['yellow']
1010,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15165.jpg,"[['zarya', 0.9960604310035706]]","[['reinhardt', 0.9997883439064026]]",['blue'],['yellow']
1011,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15180.jpg,"[['zarya', 0.9960604310035706]]","[['reinhardt', 0.9997883439064026]]",['blue'],['yellow']
1012,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15195.jpg,"[['zarya', 0.9960668683052063]]","[['reinhardt', 0.9997883439064026]]",['blue'],['yellow']
1013,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15210.jpg,"[['zarya', 0.9960604310035706]]","[['reinhardt', 0.9997883439064026]]",['blue'],['yellow']
1014,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15225.jpg,"[['zarya', 0.9961089491844177]]","[['reinhardt', 0.999788224697113]]",['blue'],['yellow']
1015,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15240.jpg,"[['zarya', 0.9961076378822327]]","[['reinhardt', 0.999788224697113]]",['blue'],['yellow']
1016,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15255.jpg,"[['zarya', 0.9961076378822327]]","[['reinhardt', 0.999788224697113]]",['blue'],['yellow']
1017,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15270.jpg,"[['zarya', 0.9961076378822327]]","[['reinhardt', 0.999788224697113]]",['blue'],['yellow']
1018,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15285.jpg,"[['zarya', 0.9961076378822327]]","[['reinhardt', 0.999788224697113]]",['blue'],['yellow']
1019,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15300.jpg,"[['zarya', 0.9961076378822327]]","[['reinhardt', 0.999788224697113]]",['blue'],['yellow']
1020,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15315.jpg,"[['zarya', 0.9961076378822327]]","[['reinhardt', 0.999788224697113]]",['blue'],['yellow']
1021,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15330.jpg,"[['zarya', 0.9961076378822327]]","[['reinhardt', 0.999788224697113]]",['blue'],['yellow']
1022,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15345.jpg,"[['zarya', 0.9961076378822327]]","[['reinhardt', 0.999788224697113]]",['blue'],['yellow']
