,Images,Kills,Deaths,Kills_Colors,Deaths_Colors
2933,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44010.jpg,"['hammond', 0.1317945420742035]","['hammond', 0.1317945420742035]",no kill,no kill
2934,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44025.jpg,"['hammond', 0.1317945420742035]","['hammond', 0.1317945420742035]",no kill,no kill
2935,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44040.jpg,"['hammond', 0.1317945420742035]","['hammond', 0.1317945420742035]",no kill,no kill
2936,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44055.jpg,"['hammond', 0.1317945420742035]","['hammond', 0.1317945420742035]",no kill,no kill
2937,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44070.jpg,"['hammond', 0.1317945420742035]","['hammond', 0.1317945420742035]",no kill,no kill
2938,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44085.jpg,"['hammond', 0.1317945420742035]","['hammond', 0.1317945420742035]",no kill,no kill
2939,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44100.jpg,"['hammond', 0.1317945420742035]","['hammond', 0.1317945420742035]",no kill,no kill
2940,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44115.jpg,"['hammond', 0.1317945420742035]","['hammond', 0.1317945420742035]",no kill,no kill
2941,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44130.jpg,"['hammond', 0.1317945420742035]","['hammond', 0.1317945420742035]",no kill,no kill
2942,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44145.jpg,"['hammond', 0.1317945420742035]","['hammond', 0.1317945420742035]",no kill,no kill
2943,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44160.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2944,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44175.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2945,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44190.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2946,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44205.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2947,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44220.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2948,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44235.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2949,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44250.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2950,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44265.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2951,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44280.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2952,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44295.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2953,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44310.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2954,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44325.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2955,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44340.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2956,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44355.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2957,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44370.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2958,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44385.jpg,"['hammond', 0.1307385414838791]","['hammond', 0.1307385414838791]",no kill,no kill
2959,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44400.jpg,"['hammond', 0.13095569610595703]","['hammond', 0.13095569610595703]",no kill,no kill
2960,vod_data/01.04.2019+SF+vs+DAL+RIALTO/44415.jpg,"['zenyatta', 0.9927905797958374]","['lucio', 0.9961493015289307]",yellow,blue
