,Image,Date,Map,Opponent,Roundtype,Duration,GameState,Paused,Kills,Deaths,Name 1,Hero 1,Accuracy 1,Ult_Charge 1,Ult_Accuracy 1,Name 2,Hero 2,Accuracy 2,Ult_Charge 2,Ult_Accuracy 2,Name 3,Hero 3,Accuracy 3,Ult_Charge 3,Ult_Accuracy 3,Name 4,Hero 4,Accuracy 4,Ult_Charge 4,Ult_Accuracy 4,Name 5,Hero 5,Accuracy 5,Ult_Charge 5,Ult_Accuracy 5,Name 6,Hero 6,Accuracy 6,Ult_Charge 6,Ult_Accuracy 6,Name 7,Hero 7,Accuracy 7,Ult_Charge 7,Ult_Accuracy 7,Name 8,Hero 8,Accuracy 8,Ult_Charge 8,Ult_Accuracy 8,Name 9,Hero 9,Accuracy 9,Ult_Charge 9,Ult_Accuracy 9,Name 10,Hero 10,Accuracy 10,Ult_Charge 10,Ult_Accuracy 10,Name 11,Hero 11,Accuracy 11,Ult_Charge 11,Ult_Accuracy 11,Name 12,Hero 12,Accuracy 12,Ult_Charge 12,Ult_Accuracy 12
0,vod_data/01.04.2019+SF+vs+DAL+BUSAN/15.jpg,4/1/2019,BUSAN,DAL,,0,lobby,live,"['', '']","['', '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,vod_data/01.04.2019+SF+vs+DAL+BUSAN/30.jpg,4/1/2019,BUSAN,DAL,MEKA,0,ingame,live,"['', '']","['', '']",SUPER,unknownhero,-1,uncharged,0.99968183,CHOIHYOBIN,unknownhero,-1,uncharged,0.99940598,SINATRAA,unknownhero,-1,uncharged,0.999196351,RASCAL,unknownhero,-1,uncharged,0.998414516,MOTH,unknownhero,-1,uncharged,0.997014999,NIGHTHAWK,unknownhero,-1,uncharged,0.996649921,OGE,unknownhero,-1,uncharged,0.999813855,PERALTA,unknownhero,-1,uncharged,0.999661446,AKM,unknownhero,-1,uncharged,0.999492049,ZACHAREEE,unknownhero,-1,uncharged,0.99930203,UNKOE,unknownhero,-1,uncharged,0.999330282,GOO6,unknownhero,-1,uncharged,0.998681366
2,vod_data/01.04.2019+SF+vs+DAL+BUSAN/2415.jpg,4/1/2019,BUSAN,DAL,MEKA,0,ingame,live,"['', '']","['', '']",SUPER,hammond,0.995549083,uncharged,0.99968183,CHOIHYOBIN,unknownhero,-1,uncharged,0.99940598,SINATRAA,unknownhero,-1,uncharged,0.999196351,RASCAL,brig,0.990248501,uncharged,0.998414516,MOTH,unknownhero,-1,uncharged,0.997014999,NIGHTHAWK,widow,0.979502797,uncharged,0.996649921,OGE,unknownhero,-1,uncharged,0.999813855,PERALTA,dva,0.955500543,uncharged,0.999661446,AKM,unknownhero,-1,uncharged,0.999492049,ZACHAREEE,unknownhero,-1,uncharged,0.99930203,UNKOE,unknownhero,-1,uncharged,0.999330282,GOO6,unknownhero,-1,uncharged,0.998681366
3,vod_data/01.04.2019+SF+vs+DAL+BUSAN/2430.jpg,4/1/2019,BUSAN,DAL,MEKA,0,ingame,live,"['', '']","['', '']",SUPER,hammond,0.995549083,uncharged,0.99968183,CHOIHYOBIN,dva,0.999912143,uncharged,0.99940598,SINATRAA,sombra,0.982756257,uncharged,0.999196351,RASCAL,brig,0.990248501,uncharged,0.998414516,MOTH,lucio,0.991535425,uncharged,0.997014999,NIGHTHAWK,widow,0.979502797,uncharged,0.996649921,OGE,unknownhero,-1,uncharged,0.999813855,PERALTA,dva,0.955500543,uncharged,0.999661446,AKM,unknownhero,-1,uncharged,0.999492049,ZACHAREEE,unknownhero,-1,uncharged,0.99930203,UNKOE,unknownhero,-1,uncharged,0.999330282,GOO6,unknownhero,-1,uncharged,0.998681366
4,vod_data/01.04.2019+SF+vs+DAL+BUSAN/2490.jpg,4/1/2019,BUSAN,DAL,MEKA,0,ingame,live,"['', '']","['', '']",SUPER,hammond,0.995549083,uncharged,0.99968183,CHOIHYOBIN,dva,0.999912143,uncharged,0.99940598,SINATRAA,sombra,0.982756257,uncharged,0.999196351,RASCAL,brig,0.990248501,uncharged,0.998414516,MOTH,lucio,0.991535425,uncharged,0.997014999,NIGHTHAWK,widow,0.979502797,uncharged,0.996649921,OGE,unknownhero,-1,uncharged,0.999813855,PERALTA,dva,0.955500543,uncharged,0.999661446,AKM,zarya,1,uncharged,0.999492049,ZACHAREEE,unknownhero,-1,uncharged,0.99930203,UNKOE,unknownhero,-1,uncharged,0.999330282,GOO6,unknownhero,-1,uncharged,0.998681366
5,vod_data/01.04.2019+SF+vs+DAL+BUSAN/2505.jpg,4/1/2019,BUSAN,DAL,MEKA,0,ingame,live,"['', '']","['', '']",SUPER,hammond,0.995549083,uncharged,0.99968183,CHOIHYOBIN,dva,0.999912143,uncharged,0.99940598,SINATRAA,sombra,0.982756257,uncharged,0.999196351,RASCAL,brig,0.990248501,uncharged,0.998414516,MOTH,lucio,0.991535425,uncharged,0.997014999,NIGHTHAWK,widow,0.979502797,uncharged,0.996649921,OGE,unknownhero,-1,uncharged,0.999813855,PERALTA,dva,0.955500543,uncharged,0.999661446,AKM,zarya,1,uncharged,0.999492049,ZACHAREEE,baptiste,0.999999523,uncharged,0.99930203,UNKOE,zenyatta,0.999999881,uncharged,0.999330282,GOO6,lucio,0.999998689,uncharged,0.998681366
6,vod_data/01.04.2019+SF+vs+DAL+BUSAN/3420.jpg,4/1/2019,BUSAN,DAL,MEKA,0,ingame,live,"['', '']","['', '']",SUPER,hammond,0.995549083,uncharged,0.99968183,CHOIHYOBIN,dva,0.999912143,uncharged,0.99940598,SINATRAA,sombra,0.982756257,uncharged,0.999196351,RASCAL,brig,0.990248501,uncharged,0.998414516,MOTH,lucio,0.991535425,uncharged,0.997014999,NIGHTHAWK,moira,0.999984026,uncharged,0.996649921,OGE,unknownhero,-1,uncharged,0.999813855,PERALTA,dva,0.955500543,uncharged,0.999661446,AKM,zarya,1,uncharged,0.999492049,ZACHAREEE,baptiste,0.999999523,uncharged,0.99930203,UNKOE,zenyatta,0.999999881,uncharged,0.999330282,GOO6,lucio,0.999998689,uncharged,0.998681366
7,vod_data/01.04.2019+SF+vs+DAL+BUSAN/3735.jpg,4/1/2019,BUSAN,DAL,MEKA,0,ingame,live,"['', '']","['', '']",SUPER,hammond,0.995549083,uncharged,0.99968183,CHOIHYOBIN,dva,0.999912143,uncharged,0.99940598,SINATRAA,sombra,0.982756257,uncharged,0.999196351,RASCAL,brig,0.990248501,uncharged,0.998414516,MOTH,lucio,0.991535425,uncharged,0.997014999,NIGHTHAWK,moira,0.999984026,uncharged,0.996649921,OGE,reinhardt,1,uncharged,0.999813855,PERALTA,dva,0.955500543,uncharged,0.999661446,AKM,zarya,1,uncharged,0.999492049,ZACHAREEE,baptiste,0.999999523,uncharged,0.99930203,UNKOE,zenyatta,0.999999881,uncharged,0.999330282,GOO6,lucio,0.999998689,uncharged,0.998681366
8,vod_data/01.04.2019+SF+vs+DAL+BUSAN/3900.jpg,4/1/2019,BUSAN,DAL,MEKA,0,ingame,live,"['', '']","['', '']",SUPER,hammond,0.995549083,uncharged,0.99968183,CHOIHYOBIN,dva,0.999912143,uncharged,0.99940598,SINATRAA,sombra,0.982756257,uncharged,0.999196351,RASCAL,brig,0.990248501,uncharged,0.998414516,MOTH,lucio,0.991535425,uncharged,0.997014999,NIGHTHAWK,ana,0.999929905,uncharged,0.996649921,OGE,reinhardt,1,uncharged,0.999813855,PERALTA,dva,0.955500543,uncharged,0.999661446,AKM,zarya,1,uncharged,0.999492049,ZACHAREEE,baptiste,0.999999523,uncharged,0.99930203,UNKOE,zenyatta,0.999999881,uncharged,0.999330282,GOO6,lucio,0.999998689,uncharged,0.998681366
9,vod_data/01.04.2019+SF+vs+DAL+BUSAN/4350.jpg,4/1/2019,BUSAN,DAL,MEKA,0,ingame,live,"['', '']","['', '']",SUPER,hammond,0.995549083,uncharged,0.99968183,CHOIHYOBIN,dva,0.999912143,uncharged,0.99940598,SINATRAA,sombra,0.982756257,uncharged,0.999196351,RASCAL,brig,0.990248501,uncharged,0.998414516,MOTH,lucio,0.991535425,uncharged,0.997014999,NIGHTHAWK,ana,0.999929905,uncharged,0.996649921,OGE,reinhardt,1,uncharged,0.999813855,PERALTA,dva,0.955500543,uncharged,0.999661446,AKM,zarya,1,uncharged,0.999492049,ZACHAREEE,baptiste,0.999999523,uncharged,0.99930203,UNKOE,zenyatta,0.999999881,uncharged,0.999330282,GOO6,lucio,0.999998689,uncharged,0.998681366
